,SubjectID,MaxRating
0,1,64.0
1,100,64.0
2,101,64.0
3,102,80.0
4,104,65.0
5,106,70.0
6,107,70.0
7,108,64.0
8,109,64.0
9,11,70.0
10,110,60.0
11,111,64.0
12,112,62.0
13,113,82.0
14,116,64.0
15,117,60.0
16,119,70.0
17,12,50.0
18,120,70.0
19,121,70.0
20,122,70.0
21,124,70.0
22,125,70.0
23,126,64.0
24,128,55.0
25,129,65.0
26,13,60.0
27,130,65.0
28,132,62.0
29,133,60.0
30,134,60.0
31,135,60.0
32,136,65.0
33,137,30.0
34,139,100.0
35,14,65.0
36,141,24.0
37,142,70.0
38,143,50.0
39,144,68.0
40,145,100.0
41,146,55.0
42,147,70.0
43,148,64
44,149,45
45,15,50
46,151,64
47,152,60
48,153,80
49,154,60
50,155,70
51,157,70
52,158,65
53,159,64
54,161,60
55,162,50
56,163,100
57,17,100
58,18,70
59,19,70
60,2,100
61,20,75
62,21,70
63,22,75
64,25,70
65,26,65
66,27,100
67,28,65
68,29,75
69,31,64
70,32,70
71,33,60
72,34,63
73,35,60
74,37,56
75,38,65
76,39,30
77,4,65
78,40,40
79,41,100
80,42,60
81,43,15
82,44,64
83,46,75
84,48,100
85,49,60
86,5,80
87,50,70
88,51,65
89,52,70
90,53,60
91,55,70
92,56,65
93,57,70
94,58,72
95,59,50
96,6,65
97,61,70
98,62,60
99,63,50
100,64,64
101,66,50
102,67,75
103,68,70
104,69,100
105,70,99
106,71,65
107,73,75
108,75,60
109,76,20
110,77,60
111,78,70
112,79,64
113,81,60
114,82,64
115,84,60
116,85,70
117,87,60
118,88,60
119,89,80
120,9,64
121,91,60
122,92,59
123,93,80
124,94,43
125,95,64
126,96,60
127,97,50
128,98,75
129,99,70