Participant,MRI,Alone,BeliefBalloon,MaxBalloonSize,firstcash,popsbeforefirstcash
1,0,21.857,30.585,64,10,1
2,0,30.889,33.75,100,23,2
4,0,30.235,24.375,65,30,1
5,0,29.3,28.873,80,28,1
6,0,38.143,30.98,65,32,1
8,1,28.929,36.75,70,30,5
9,0,31,22.315,64,17,3
11,0,28.286,44.908,70,27,3
12,0,13.5,24,50,11,3
13,0,37,30.251,60,35,2
14,0,27.5,33.969,65,10,1
16,1,37.8,49.5,100,40,10
17,0,38,49.868,100,25,2
18,0,25.125,30.445,70,30,2
19,0,22.636,53.204,70,20,1
20,0,34.222,36.737,75,35,1
21,0,39.429,48.175,70,50,2
22,0,21.312,19.612,75,22,1
24,1,37.5,39.055,75,40,3
25,0,37.5,37.47,70,30,5
26,0,27.083,20.93,65,11,2
27,0,20.188,42.85,100,10,1
28,0,34.125,25.812,65,27,2
29,0,38.714,34.552,75,40,1
30,1,24.917,25.332,70,14,3
31,0,35.444,34.493,64,27,2
32,0,20.6,29.967,70,15,3
33,0,20.455,32.94,60,7,2
34,0,22.417,15.669,63,21,1
35,0,23.875,36.158,60,10,5
36,1,31.875,33.824,70,30,4
37,0,16,29.746,56,5,4
38,0,29.375,27.818,65,27,2
39,0,17.231,13.755,30,5,1
40,0,20,17.406,40,15,1
41,0,27,49.943,100,30,1
42,0,34.429,41.328,60,23,4
43,0,10.615,10.125,15,7,2
44,0,32.727,32,64,32,1
45,1,40.625,73.152,100,30,3
46,0,41.111,37.5,75,41,1
47,1,28.333,27.454,60,31,4
48,0,32.857,48.351,100,30,1
49,0,24.8,29.31,60,31,1
50,0,35.714,32.366,70,45,4
51,0,30.667,35.171,65,23,1
52,0,22.636,69.446,70,19,3
53,0,46.833,32.443,60,40,3
54,1,20.333,40.152,68,16,3
55,0,28.4,36.614,70,23,4
56,0,30.5,40.235,65,38,1
57,0,34.182,35.7,70,20,3
58,0,38.667,37.783,72,39,1
59,0,25,8.8221,50,25,2
60,1,41.571,36.476,70,20,1
61,0,36,33.337,70,30,2
62,0,32.455,26.244,60,24,1
63,0,24.5,23.131,50,26,1
64,0,22.714,33.835,64,18,1
65,1,33.286,33.107,64,40,1
66,0,24.444,25.216,50,20,2
67,0,19.222,36.473,75,20,1
68,0,26.455,33.041,70,20,1
69,0,17.167,43.184,100,18,2
70,0,26.25,40.838,99,25,6
71,0,28.286,26.502,65,21,2
72,1,29.333,34.068,68,31,3
73,0,19.818,37.537,75,12,1
74,1,29.75,17.966,52,32,1
75,0,35.111,43.933,60,26,1
76,0,17.667,8.1602,20,8,2
77,0,29.2,27.502,60,20,3
78,0,29.545,36.715,70,25,3
79,0,42,31.589,64,39,2
80,1,24.286,33.715,64,25,1
81,0,33.75,31.48,60,50,1
82,0,31.5,32.101,64,25,2
83,1,15.2,22.386,70,6,1
84,0,23.333,29.442,60,36,1
85,0,23.077,36.75,70,21,1
86,1,20.176,52.49,100,20,1
87,0,23.9,37.421,60,15,2
88,0,26.071,26.85,60,25,2
89,0,43.75,36.88,80,34,2
90,1,33.778,38.008,70,30,2
91,0,32.143,29.188,60,36,1
92,0,36.222,23.535,59,25,1
93,0,24.091,41.435,80,18,2
94,0,24.286,13.676,43,14,4
95,0,31.8,32.528,64,30,1
96,0,30.571,30,60,25,3
97,0,21.5,22.276,50,22,1
98,0,18.8,29.625,75,10,6
99,0,28.571,35.312,70,20,6
100,0,19.111,35.616,64,25,2
101,0,22.154,16.832,64,10,3
102,0,26,37.04,80,25,1
103,1,26.429,31.282,60,42,1
104,0,20.357,19.629,65,8,1
105,1,32.75,32.896,64,32,3
106,0,29,30.45,70,20,1
107,0,24,35.337,70,15,1
108,0,33.917,33.6,64,32,2
109,0,9.0769,24.408,64,20,1
110,0,26.5,37.77,60,22,2
111,0,23.778,33.6,64,18,2
112,0,25.917,24.268,62,15,2
113,0,15.636,43.05,82,12,2
114,1,30.538,32.32,64,20,3
115,1,14,29.279,58,5,2
116,0,31.875,31.221,64,48,1
117,0,20.8,30.404,60,27,1
118,1,25.182,27.081,64,31,1
119,0,19.077,34.431,70,12,2
120,0,28.667,35.533,70,23,1
121,0,15.818,38.086,70,14,1
122,0,31.429,20.02,70,23,2
123,1,31.286,36.356,70,26,1
124,0,29,32.634,70,30,1
125,0,19,37.45,70,15,1
126,0,27,35.494,64,25,1
127,1,42.714,34.342,64,41,1
128,0,17.875,30.25,55,8,1
129,0,25.846,20.756,65,30,2
130,0,19.583,20.436,65,15,1
131,1,33.556,29.325,75,22,1
132,0,30.071,46.168,62,25,2
133,0,27.556,29.566,60,40,3
134,0,36,37.2,60,30,2
135,0,32,40.618,60,32,1
136,0,33.75,35.117,65,45,2
137,0,23.538,15.369,30,20,1
138,1,23.917,29.43,54,18,1
139,0,37.375,51.75,100,40,1
140,1,27.5,28.928,64,18,1
141,0,21.444,11.208,24,10,2
142,0,38.125,35.755,70,35,1
143,0,25.429,25.537,50,20,3
144,0,12.818,18.666,68,15,1
145,0,30.818,49.694,100,30,1
146,0,46.429,35.532,55,45,2
147,0,21,30.779,70,10,2
148,0,21.667,32.17,64,30,2
149,0,18.571,23.677,45,15,1
150,1,27.222,31.968,64,29,2
151,0,36.375,32.16,64,30,1
152,0,32.556,33.14,60,30,1
153,0,20,29.592,80,20,2
154,0,21.417,34.68,60,14,1
155,0,18.5,34.515,70,10,3
156,1,32,42.874,68,24,3
157,0,30,36.409,70,29,1
158,0,34.75,33.952,65,10,1
159,0,25.7,42.416,64,16,1
160,1,21.833,30.668,60,10,2
161,0,31.9,29.1,60,32,1
162,0,26.333,15.51,50,20,2
163,0,23.385,41.75,100,20,3
